NIT,GRUPO POBLACIONAL,RED TERRITORIAL,LOCALIDAD,DIA DE PEDIDO,FRECUENCIA
901062385,2,9,19,2,15
901467662,1,4,14,1,15
901286856,1,11,1,1,30
901286856,11,8,1,3,7
901286856,8,8,1,3,15
901286856,8,9,19,2,15
901286856,1,9,19,2,30
901286856,1,7,22,2,30
830025985,1,9,19,1,30
900262203,1,7,22,3,15
800000791,1,5,4,1,15
830035647,2,6,2,3,15
860041969,5,5,42,2,15
860006696,11,4,14,4,7
860019032,1,4,3,2,15
800211276,2,4,17,2,15
830068695,11,2,5,4,15
901415659,11,5,4,1,15
830019818,1,4,3,5,7
800149084,11,13,37,5,15
900427979,1,7,22,1,30
900276152,1,9,19,4,15
900646977,2,5,4,3,15
800001312,1,11,11,3,30
860404193,2,5,4,4,7
900296657,9,7,22,3,7
901046240,2,9,19,3,7
832001783,2,3,24,4,30
901228260,1,1,10,3,15
900829709,2,5,4,5,30
890902736,1,6,2,6,15
890902736,1,2,18,6,15
901192818,5,3,8,4,15
830027264,11,4,14,5,7
900104775,3,8,1,4,15
901416306,1,8,1,3,30
830118391,1,4,17,3,7
830118391,1,4,17,3,7
900211802,5,1,10,6,7
900916893,6,,10,5,15
830129770,3,1,12,2,7
900476438,1,12,19,4,15
830094717,6,8,1,1,7
860509801,5,8,11,4,7
830130630,3,6,12,1,7
860513077,10,6,12,5,30
860529000,6,8,1,4,7
860041741,3,11,11,4,15
860069666,6,6,17,3,15
860021643,6,7,7,5,30
832002724,1,8,1,3,7
860006764,1,8,1,3,30
900748441,1,5,4,5,7
900645014,8,1,11,5,15
900575177,2,5,5,2,7
830033401,1,1,10,5,15
830143940,1,3,8,4,15
901299333,1,3,8,4,30
830141062,8,7,22,2,7
800145628,9,5,4,5,15
830045172,9,5,4,5,30
900172618,5,5,4,5,15
901337790,11,7,22,5,15
830104053,8,5,4,2,7
800232727,3,9,19,2,7
800232727,9,9,19,6,7
900699078,7,11,11,3,7
830132837,1,2,5,5,7
830117795,3,14,48,2,15
830117795,3,10,,2,15
830117795,3,7,22,2,15
830117795,3,7,22,2,15
830117795,3,5,4,2,15
830117795,8,5,4,2,15
901251794,6,11,11,2,30
901251794,8,7,22,2,15
860009262,4,4,14,1,30
900525146,8,2,18,3,15
900525146,2,2,18,3,15
901552075,11,5,42,5,15
800161819,5,4,14,6,30
901611781,1,10,35,5,15
860007390,1,10,34,5,15
860007390,1,10,35,5,15
830132757,1,9,19,1,15
900111232,3,12,14,4,15
900870611,7,3,8,1,15
900050702,11,1,10,6,7
830136143,5,1,11,3,30
900030381,10,2,5,1,7
800036681,8,3,8,2,15
830079135,1,2,5,3,30
830132480,1,5,4,5,7
860014805,8,4,13,5,7
860020658,2,2,5,2,15
860021793,9,5,4,2,7
860007314,8,13,,5,15
830092812,8,5,4,2,15
800062372,9,5,4,1,15
901298902,11,5,4,5,7
900840138,10,7,22,2,15
900840138,1,7,22,6,7
860015983,6,4,13,3,30
900769307,7,6,2,1,7
900691039,9,4,3,2,15
